timestamp, last_tc_value, tmp_id, throughput, buffer, stallDuration, representationId, 
1646808034, 8000, dashjs3.1.3_c18, 4245, 15.98, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646808034, 8000, dashjs3.1.3_c70, 4231, 16.075, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808036, 8000, dashjs3.1.3_c70, 4263, 17.574, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646808036, 8000, dashjs3.1.3_c18, 4220, 16.979, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808039, 8000, dashjs3.1.3_c18, 4546, 18.228, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808040, 8000, dashjs3.1.3_c70, 4691, 17.573, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646808043, 8000, dashjs3.1.3_c18, 4840, 18.227, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808044, 8000, dashjs3.1.3_c70, 4976, 17.822, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646808051, 4000, dashjs3.1.3_c18, 4385, 15.225, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808051, 4000, dashjs3.1.3_c70, 4495, 15.32, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646808056, 4000, dashjs3.1.3_c70, 4130, 14.568, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646808057, 4000, dashjs3.1.3_c18, 4035, 13.473, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808061, 4000, dashjs3.1.3_c18, 3553, 12.971, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808062, 4000, dashjs3.1.3_c70, 3714, 12.816, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646808066, 4000, dashjs3.1.3_c18, 2057, 11.97, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808066, 4000, dashjs3.1.3_c70, 2075, 12.314, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646808068, 4000, dashjs3.1.3_c70, 2130, 14.814, 3.828699999988079, bbb_30fps_640x360_800k, 
1646808068, 4000, dashjs3.1.3_c18, 2065, 14.219, 0.26809999999403955, bbb_30fps_640x360_800k, 
1646808069, 4000, dashjs3.1.3_c70, 2192, 17.063, 3.828699999988079, bbb_30fps_640x360_800k, 
1646808069, 4000, dashjs3.1.3_c18, 2139, 16.719, 0.26809999999403955, bbb_30fps_640x360_800k, 
1646808071, 4000, dashjs3.1.3_c18, 2337, 18.468, 0.26809999999403955, bbb_30fps_640x360_800k, 
1646808072, 4000, dashjs3.1.3_c70, 2410, 17.812, 3.828699999988079, bbb_30fps_768x432_1500k, 
1646808076, 4000, dashjs3.1.3_c18, 2592, 18.217, 0.26809999999403955, bbb_30fps_768x432_1500k, 
1646808076, 2000, dashjs3.1.3_c70, 2570, 17.311, 3.828699999988079, bbb_30fps_768x432_1500k, 
1646808084, 2000, dashjs3.1.3_c18, 2313, 14.964, 0.26809999999403955, bbb_30fps_768x432_1500k, 
1646808084, 2000, dashjs3.1.3_c70, 2327, 14.559, 3.828699999988079, bbb_30fps_768x432_1500k, 
1646808090, 2000, dashjs3.1.3_c18, 2098, 12.963, 0.26809999999403955, bbb_30fps_768x432_1500k, 
1646808090, 2000, dashjs3.1.3_c70, 2175, 13.057, 3.828699999988079, bbb_30fps_768x432_1500k, 
1646808094, 2000, dashjs3.1.3_c70, 1888, 13.306, 3.828699999988079, bbb_30fps_640x360_800k, 
1646808094, 2000, dashjs3.1.3_c18, 1862, 12.961, 0.26809999999403955, bbb_30fps_640x360_800k, 
1646808097, 2000, dashjs3.1.3_c18, 1130, 13.961, 0.26809999999403955, bbb_30fps_640x360_800k, 
1646808097, 2000, dashjs3.1.3_c70, 1099, 13.555, 3.828699999988079, bbb_30fps_640x360_800k, 
1646808098, 2000, dashjs3.1.3_c70, 1099, 17.055, 3.828699999988079, bbb_30fps_320x180_400k, 
1646808098, 2000, dashjs3.1.3_c18, 1097, 15.96, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646808098, 2000, dashjs3.1.3_c70, 1225, 16.304, 3.828699999988079, bbb_30fps_320x180_400k, 
1646808099, 2000, dashjs3.1.3_c18, 1398, 19.21, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646808099, 2000, dashjs3.1.3_c70, 1407, 18.554, 3.828699999988079, bbb_30fps_320x180_400k, 
1646808105, 2000, dashjs3.1.3_c18, 1374, 16.958, 0.26809999999403955, bbb_30fps_640x360_800k, 
1646808105, 2000, dashjs3.1.3_c70, 1401, 17.052, 3.828699999988079, bbb_30fps_640x360_800k, 
1646808106, 2000, dashjs3.1.3_c70, 1401, 19.552, 3.828699999988079, bbb_30fps_640x360_800k, 
1646808108, 4000, dashjs3.1.3_c18, 1411, 17.207, 0.26809999999403955, bbb_30fps_640x360_800k, 
1646808111, 4000, dashjs3.1.3_c18, 1764, 18.956, 0.26809999999403955, bbb_30fps_640x360_800k, 
1646808111, 4000, dashjs3.1.3_c70, 1771, 18.3, 3.828699999988079, bbb_30fps_640x360_800k, 
1646808114, 4000, dashjs3.1.3_c18, 2216, 19.455, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646808114, 4000, dashjs3.1.3_c70, 2281, 19.549, 3.828699999988079, bbb_30fps_320x180_400k, 
1646808118, 4000, dashjs3.1.3_c18, 2626, 19.704, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646808118, 4000, dashjs3.1.3_c70, 2805, 19.189, 3.828699999988079, bbb_30fps_320x180_400k, 
1646808122, 4000, dashjs3.1.3_c18, 2683, 19.203, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646808122, 4000, dashjs3.1.3_c70, 3502, 19.047, 3.828699999988079, bbb_30fps_320x180_400k, 
1646808126, 4000, dashjs3.1.3_c18, 2944, 19.451, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646808126, 4000, dashjs3.1.3_c70, 4894, 19.046, 3.828699999988079, bbb_30fps_320x180_400k, 
